기준,이름,휴대폰번호,이메일,집주소,주민번호,생년월일,직업,카드번호,종교,정치정당,운전면허번호,IP주소,은행계좌번호,신용카드번호,병명(질환),sns계정
2008-03-09,박영수,042-626-2228,seungminyun@example.com,경상북도 춘천시 압구정로 (재호박면),690906-2386043,2024-05-12,매장계산원 및 요금정산원,676290282281,무교,기타,678VEI,165.108.186.173,PUTE18552931463407,5196272427257413,고혈압,msong
2008-06-16,홍예진,070-0476-9372,songseongsu@example.org,경기도 부천시 원미구 도산대28거리,890725-1043946,2000-11-11,제관원,4286866907652789,무교,기타,ZMM 007,191.149.15.31,ZLWR57758748465407,213147006155966,천식,jiugim
2000-02-02,이명숙,042-934-2698,hyeonjungim@example.com,전라남도 성남시 분당구 석촌호수5로 (영철이권읍),550510-1882284,1987-01-04,작가 및 관련 전문가,6011076507369449,무교,정의당,HFL 483,48.72.110.207,RTIA39481441213913,4501429741108939872,당뇨병,ogjabae
2011-02-28,김준호,053-071-3228,ogja84@example.org,대구광역시 은평구 압구정8거리,190314-1356011,1932-03-20,금속 / 재료공학 연구원 및 기술자,30291256949065,기독교,정의당,923 2BK,217.126.80.45,AOUF34153500677442,4329650539587111,당뇨병,yeonggil79
2023-02-24,이춘자,02-0882-6563,coeeungyeong@example.net,대구광역시 관악구 테헤란가 (민수박김동),480711-2264907,1927-08-19,보건의료관련 관리자,180031187050288,무교,정의당,BL4 4114,158.127.206.203,HZJR53881164773155,30051128112262,없음,yeongjin38
2012-11-04,허미경,019-486-0619,gangsunog@example.org,충청북도 과천시 역삼로,190503-1117073,1925-02-04,간병인,2720922876385444,불교,정의당,280 KSJ,199.204.227.87,WVWJ79006459060259,4134839116704356,없음,jihye35
2015-11-23,김민지,031-385-1307,lbae@example.net,전라남도 단양군 반포대85거리 (영희김동),390714-2094591,1971-07-26,약사 및 한약사,213134714398336,천주교,정의당,6865 QB,93.213.228.12,RHAY19550146661704,4860068511345215,없음,cjeong
2015-04-17,노순옥,051-681-7853,hyejin24@example.net,제주특별자치도 단양군 반포대55가,820616-2610015,2019-07-10,청소원,676225302337,불교,정의당,9GMB228,34.48.130.133,VLVL11703055456230,4034577505066810,고혈압,yejuni
2007-11-13,송지혜,042-885-0701,yeonghyigim@example.net,전라북도 공주시 도산대가 (승민박최면),320116-2640424,2018-04-12,행사기획자,6542459239443781,기타,정의당,201-LMF,83.127.63.139,UARE22042591892188,213113746790215,없음,idoyun
2020-05-18,김명자,055-436-5073,oseo@example.org,광주광역시 관악구 테헤란거리,620723-2007882,1939-06-16,환경/청소 및 경비 관련 관리자,5184266584777340,천주교,민주당,87-1372X,68.210.55.29,TVBX39992966775079,4044127078014885287,당뇨병,doyuno
2000-07-21,이아름,019-166-6367,rjang@example.org,충청북도 동두천시 가락길 (서영이리),770212-1005153,2022-07-27,통신공학 기술자 및 연구원,3533911159191285,무교,국민의힘,703-SFD,190.121.245.24,MQPK00230244292490,213120609291801,암,heoyeongsun
2014-07-31,백영수,031-645-5740,sugjacoe@example.com,충청북도 속초시 강남대로 (영희손남마을),660225-1537270,1938-05-06,보조 교사 및 기타 교사,3556589727018610,불교,기타,F00 8BS,107.131.140.231,YXSI62882920921752,213178260174906,천식,bagujin
2014-07-22,하예은,062-846-2917,gimjihye@example.net,충청남도 평택시 오금거리 (지민김동),380312-2107458,1974-10-10,사서 및 기록물관리사,4843473061074088476,불교,국민의힘,W71 3NC,11.45.173.179,SXUQ61122856790229,3593214462507611,암,jeongsu02
2019-11-25,문은지,032-234-7490,eunjeongcoe@example.net,대전광역시 송파구 반포대20거리 (건우손동),100026-1691444,2013-06-12,인사 및 노사 관련 전문가,3502731282654836,기독교,정의당,187 VSU,207.115.25.79,WSLL28734976293814,4885399437843871,당뇨병,ui
2005-11-17,윤은영,018-536-8654,fyang@example.com,경기도 부여군 개포97길,090616-1630446,2020-11-22,세탁원 및 다림질원,370846732791551,기독교,기타,MFV 944,184.203.6.103,FNQW08527864833587,6011147002776071,고혈압,gimseungmin
2000-05-08,신영환,016-219-5646,coeyeji@example.com,대구광역시 관악구 서초대830거리,420303-1465017,1956-08-27,예능 강사,3535382828320416,무교,기타,RWU-0531,30.171.215.86,BGGN43274598446581,4156097098558,없음,jongsui
2003-07-24,김예진,042-101-6324,caeweongim@example.net,제주특별자치도 청양군 논현369가,450915-1802138,2017-06-12,전기공학 기술자 및 연구원,4857216709872,불교,민주당,4OA 921,83.208.106.166,VNSV56241315352187,373682179718089,당뇨병,eomgeonu
2020-02-04,김성훈,032-620-7156,ybag@example.com,경상남도 군포시 테헤란가 (미경최면),350804-2105391,1988-05-08,인터넷 판매원,676169514889,무교,민주당,652 8TA,201.23.149.202,NUUE34468149572293,3594680434788209,고혈압,hayuni
2009-03-23,손은정,018-260-1258,yeongsigju@example.org,광주광역시 강동구 양재천길,750502-2093786,1961-07-23,산업안전 및 위험 관리원,573302262940,기독교,국민의힘,8M 04214,55.251.72.216,QCKI37557091511515,4890264422984899960,없음,bgim
2012-10-04,남지우,031-332-5950,jeongsug05@example.org,울산광역시 광진구 테헤란675로 (준호최이면),910113-1083277,1932-04-11,농업용 및 기타 기계장비 설치 및 정비원,676328210445,천주교,기타,HTU 177,18.133.97.35,OLAR09141846440436,6593585747124170,천식,eunseo77
2014-06-04,이경숙,053-732-2249,jungsu11@example.org,인천광역시 동대문구 압구정길 (현준이박리),740011-2760834,2024-04-04,화학물 가공장치 조작원,502029659310,무교,민주당,693-YUS,192.106.241.60,VPEY91943519885807,4993027061949669,천식,coejeonghun
2000-04-21,최건우,017-504-6909,isangho@example.net,경상남도 안양시 테헤란가,920705-1687901,1985-02-24,통신공학 기술자 및 연구원,2667467276497600,불교,민주당,CV 1001,171.190.132.224,GGTB48282427012193,30018584554568,없음,igyeongja
2009-08-13,이하은,010-5604-7710,songjeongsun@example.net,서울특별시 강북구 테헤란거리 (경희이박읍),710218-1257625,1955-02-27,기타 주방장 및 조리사,4078293307241813655,기타,민주당,7FXJ203,35.134.8.199,TFNO68367590326750,4432321326614492,천식,yeongil04
2022-01-25,이명자,053-001-5094,hseo@example.net,울산광역시 강북구 테헤란845거리,030001-2419976,1935-04-18,상점 판매원,639080564276,기타,정의당,912 IJN,114.13.185.22,XTFS33782135511542,4164965999664400,없음,seohyeongim
2002-09-02,장도윤,041-499-8884,imiyeong@example.org,인천광역시 북구 논현로,050219-2958831,2017-05-20,행사기획자,4228058114317106,천주교,기타,30Q•415,219.164.156.119,AGOH50337694690669,6011995201252850,당뇨병,gimyeongho
2006-06-22,김유진,052-889-4698,sumingang@example.net,제주특별자치도 부천시 소사구 석촌호수1로,970929-1765401,1965-06-24,관세행정 사무원,6011493283613595,무교,국민의힘,B19-30V,135.126.20.236,WWCT53071835511359,4529973230699458,천식,ycoe
2011-02-11,백정수,042-988-4585,agim@example.org,세종특별자치시 동구 압구정5가,720914-2088388,2005-01-05,기타 건축마감관련 기능 종사원,3544319005640728,불교,국민의힘,764-YWW,87.213.233.150,PURS39319768200975,5187979416513025,천식,eunju28
2015-02-02,차성호,055-078-4307,igim@example.net,경상남도 군포시 가락거리,370118-1309561,2014-03-02,금속 / 재료공학 시험원,30169486737247,기독교,정의당,KHN 814,45.116.12.168,VVFR81960589143550,4696295766639,고혈압,jimin66
2004-07-07,김지영,041-058-3297,myeongjaseong@example.org,제주특별자치도 하남시 오금거리 (은경오리),950608-1583121,2000-05-05,기획 및 마케팅 사무원,341367761649962,불교,민주당,ZQS 323,52.97.150.158,BIVK56515558698232,501877433026,당뇨병,yujinhan
2017-10-23,박영철,053-551-4683,jinuhan@example.com,전라남도 단양군 서초대46길,100613-2050769,1940-01-29,여행상품 개발자,3583510865087263,기타,정의당,52K 3165,119.104.203.213,LGVQ50091028129792,4260425615111818,당뇨병,gimjihun
2021-04-10,장정호,019-648-0574,gimbyeongceol@example.org,충청북도 양양군 압구정543가,710912-1812482,1917-10-18,이용사,3598909631816893,기독교,민주당,82C 953,9.63.82.153,FDJO75222276196067,2720130830892907,당뇨병,misug32
2021-10-22,김승현,032-410-3349,xgim@example.com,충청북도 안산시 단원구 백제고분거리 (민석최리),710002-1284579,1988-04-25,세탁관련 기계조작원,501807716425,기독교,기타,RYJ2864,190.28.70.223,LAMD61588280592394,3524642057389181,암,gimseongsu
2005-12-01,김예은,062-972-2782,ojunseo@example.org,전라남도 논산시 석촌호수거리 (예진권서마을),770005-2263476,1995-12-09,통신서비스판매원,4529063073799,무교,기타,344-KMB,152.58.201.27,KLRD68659585792583,3532006629158971,없음,xgim
2024-03-01,최병철,02-2576-3677,ryuhyeonjeong@example.net,충청남도 보령시 백제고분22가 (현주이마을),050926-1740838,1970-05-09,단조원,4814841838119681001,기타,국민의힘,343 EBG,74.116.190.15,GEHF63710628140134,4936583294072535631,천식,xgim
2001-09-28,이정숙,032-158-0227,iseongjin@example.org,경기도 김포시 서초대4길 (현지박면),780527-1013027,1993-02-07,배우 및 모델,6011287921914328,무교,기타,719 CRP,208.3.35.110,NJJX45290558456866,3559581177904248,고혈압,minjae07
2010-05-09,김혜진,061-472-8717,yeongjin16@example.com,부산광역시 양천구 오금가,280303-2597308,1996-05-08,광원/채석원 및 석재 절단원,30386343039043,기독교,국민의힘,K54-14K,192.248.136.224,MTJQ65478538117704,4231100100214528,천식,bgo
2015-09-22,이은지,051-244-9583,myeongsugheo@example.com,경기도 김포시 봉은사015길 (진호전이읍),020715-2354986,1976-01-27,임산물채취 및 기타 임업 관련 종사원,2716045031173558,불교,기타,OZO 076,143.69.42.98,SQZD22556946768408,5181219393611310,천식,baeggwangsu
2021-02-14,이예지,041-678-8160,jaehosong@example.net,충청북도 안산시 단원구 서초중앙길,340915-1621404,1993-04-22,의복/가죽 및 모피 수선원,2555376832683220,무교,정의당,078R8,154.253.17.249,CCTO43897894377143,3547116008769133,없음,siuno
2017-11-20,배상철,033-032-8052,sjin@example.net,대전광역시 용산구 잠실거리 (지후최면),050315-2024746,1911-08-02,선박 및 열차 객실승무원,2249194337593261,기독교,국민의힘,880ZLK,147.191.83.143,CNJD91968990516864,4945388595695677396,고혈압,ygim
2005-08-29,김지아,061-267-6997,sson@example.org,경상남도 금산군 개포길,640421-1514897,1910-03-10,기타 제조관련 기계 조작원,3575477339855180,불교,정의당,3MG0241,75.123.160.27,AVWH06951247434460,6011657433277317,없음,jeongung67
2000-06-25,박미정,044-025-6169,gojiyeong@example.net,충청북도 구리시 개포가 (선영김면),450825-2826990,1992-05-11,상품 대여원,38174830744982,불교,정의당,ZG8 F7O,214.154.142.241,NMVC17061003911197,4582492619749065848,암,hanyeonghyi
2021-01-13,허현주,055-032-4928,ci@example.org,세종특별자치시 영등포구 서초대길,370812-1079030,1970-04-03,한의사,4046626927800045,무교,국민의힘,66-LA11,152.58.141.124,UZTG37663416129539,6011858930768572,암,yunseo80
2017-09-18,이병철,044-820-2836,sanghyeon14@example.com,전라북도 의왕시 개포거리,220313-2800961,1920-11-30,목재 가공관련 기계 조작원,4256126950106944126,기독교,기타,192 TQQ,32.185.46.39,GVYS29905678354118,4010231509526860,암,gimseongmin
2019-11-16,박민석,031-367-4082,yjang@example.net,서울특별시 강남구 선릉가,120010-1087136,1963-09-20,임산물채취 및 기타 임업 관련 종사원,3579515372829798,기독교,민주당,531-785,179.62.134.103,TGDB02613441062610,4244661490145010222,천식,egang
2016-02-27,김중수,042-152-4104,gimyeongsun@example.org,경기도 시흥시 서초대8로 (옥순김동),330511-2283381,1945-11-13,장기 부사관 및 준위,2261405853793728,기독교,국민의힘,092KX,155.56.69.243,IMDH13063543973291,213126998676254,암,sunog06
2017-10-14,류서윤,052-198-0941,jimin10@example.com,경상남도 안산시 역삼로 (옥순신최읍),800314-2238623,1965-08-31,번역가,3550206897322674,무교,민주당,3708,12.231.107.125,NAYG33534849202408,5384727111952118,암,gryu
2013-09-11,엄성현,064-773-1863,nojeonghun@example.net,세종특별자치시 영등포구 선릉44로,020312-1907621,1936-05-28,소년보호관 및 교도관,4516940708653684,무교,기타,MAG 338,199.209.219.89,KCPC31097748554153,501897293384,당뇨병,ebaeg
2017-07-23,최영식,053-682-7938,areum56@example.com,인천광역시 도봉구 역삼133가 (미숙이면),280706-1053064,2007-11-20,금속가공관련 제어장치 조작원,6011069348846964,불교,기타,M38 3BN,12.9.115.135,UWGF83588420589390,4123172676866222,고혈압,yeonghyi11
2000-04-19,김하윤,02-3451-6690,jinjimin@example.com,제주특별자치도 안양시 압구정거리,400603-1201214,2010-06-13,전기 및 전자 설비 조작원,4126166419548,천주교,정의당,4FR2950,119.45.66.50,ABSD63913968393442,3563427588414647,고혈압,rseo
2013-02-25,이우진,033-310-7634,seoseongsu@example.net,대전광역시 중랑구 테헤란가 (혜진오이마을),610626-2526246,1965-09-02,혼례 종사원,345967359719667,천주교,기타,3T 9901K,36.217.38.18,OOTY92709073676735,567722638655,없음,djang
2024-03-06,노우진,041-026-5090,ogim@example.com,서울특별시 영등포구 개포로,110328-1130149,1991-12-17,판금원,3570014082392817,기타,정의당,048 2FO,75.69.234.142,IIFH60361724252294,3592099894925155,없음,coejeongnam
2018-09-09,김지민,061-134-3135,qgim@example.net,경상남도 영월군 강남대가 (승민이배동),400012-2427448,2007-02-20,치과기공사,060455437107,기독교,국민의힘,3BI 618,121.106.147.203,TKSG39821943608706,4929000768463135,천식,jiweonbag
2000-12-20,이예진,018-272-9251,hseong@example.org,전라남도 청주시 청원구 역삼9로,970114-2706271,2006-10-17,보건의료관련 관리자,2242558606392828,천주교,기타,88M 2512,35.110.142.110,CZVS52667186600153,3558343042269369,없음,sunjai
2003-02-24,김종수,064-738-8691,simdonghyeon@example.com,충청북도 태백시 영동대로 (동현김정리),880920-1687196,1923-09-21,기타 종교관련 종사자,4594454931068685556,무교,민주당,453-EXL,119.211.14.81,DYAZ44013356939286,060497958532,당뇨병,bagjinho
2015-04-21,진현우,063-142-4956,hyejin39@example.org,서울특별시 관악구 개포9가,760012-1236269,1969-06-20,단조원,2303283045902907,기타,정의당,GC 7243,202.110.138.215,DZIT82039678764870,347539648449352,당뇨병,minjaeryu
2013-10-10,이은영,062-194-8678,eunju00@example.org,충청남도 과천시 삼성0길,390929-2459598,2017-04-07,선박 갑판승무원 및 관련 종사원,6511079111943802,무교,국민의힘,4KC Q73,133.252.130.101,LEBD66434790864893,2714512351637167,고혈압,nryu
2018-11-06,전명숙,054-257-7776,yeongsuncoe@example.org,경상남도 연천군 테헤란16로 (준서문면),600404-2378291,1927-12-07,환경/청소 및 경비 관련 관리자,4528784715472,기독교,기타,050-RPW,89.44.20.143,ZYSW58919250532543,4608496522374774,암,hanyejun
2003-10-17,서은지,043-975-8022,phan@example.com,광주광역시 송파구 서초대0가,020522-2023639,1948-12-09,자동차 조립원,6011566071635225,불교,기타,6LM 035,94.181.233.47,FRYI79870864551062,3536596211070945,암,sanghuncoe
2014-03-19,류미숙,051-814-8263,qgim@example.net,광주광역시 도봉구 영동대076가,670113-1379012,1941-08-27,주조원,371928414903057,기독교,정의당,191B,30.52.2.146,RYBV28916407727677,373895239801543,천식,yeonggil20
2015-10-21,김영자,044-405-0840,hyeonju08@example.org,경기도 동해시 양재천길 (지연박강동),300403-1233710,2001-07-09,기타 이미용/예식 및 의료보조 서비스 종사원,30487910743858,기독교,기타,7D362,202.123.135.95,NRNX13758697684827,4804161269437,천식,ugim
2019-02-01,차현정,02-4969-4080,dgim@example.com,세종특별자치시 송파구 잠실0로,970915-1750803,1966-11-17,이용사,38442573116985,기독교,민주당,VDE-871,46.159.15.89,MRFY82313865322001,676280853869,없음,yunminseo
2003-08-23,노현우,018-693-0432,jiagim@example.org,울산광역시 북구 영동대001길,040814-1370731,1929-12-08,식품공학 기술자 및 연구원,676138727257,천주교,정의당,8B 0Y2OJC,140.56.120.236,BLUW12595839717964,2256512238294483,천식,dohyeongim
2015-04-21,김재호,064-763-4034,jihun26@example.com,인천광역시 강남구 봉은사거리 (정훈임오리),690116-1930440,1970-11-06,데이터베이스 개발자,213167594791113,천주교,민주당,15MT041,211.2.171.67,VXJA46591137685192,4405629690499908776,고혈압,hyeonjugim
2015-04-15,김지연,070-7538-4075,hi@example.org,세종특별자치시 영등포구 테헤란로,210502-1034736,1950-09-16,무역 사무원,6011156321830089,무교,기타,L26 1CJ,77.191.82.160,TCGX68370271898916,4201548717062902,없음,gimjeonghyi
2024-03-08,이서윤,061-610-8139,bcoe@example.com,대구광역시 영등포구 잠실1로 (예준곽장리),380628-2777889,1978-10-20,선장/항해사 및 도선사,30229252510093,불교,기타,49M Z23,71.1.76.61,XVAK86013972354131,639078265415,당뇨병,gimdoyun
2003-11-16,김주원,018-914-0510,doyun21@example.net,부산광역시 동작구 논현77가 (정희이읍),920713-2499124,2007-06-28,기타 전문서비스 관리자,4706494287328931799,기타,기타,39PN2,142.160.24.29,DBCD20002313766344,30584520738177,암,junhoi
2020-10-06,김지민,031-405-4643,seoyeong80@example.org,경상북도 계룡시 논현길 (서영정안동),910901-1410571,1974-10-04,광원/채석원 및 석재 절단원,4474646800295,기타,기타,GUR1784,154.212.164.201,YYQY10076698395165,4682724350757,당뇨병,seunghyeon11
2019-12-10,나은영,053-539-2839,gimminjun@example.com,제주특별자치도 평창군 양재천77가 (영미장최읍),240900-1384235,1955-06-29,연구 관리자,30220590302889,기독교,국민의힘,6-57012N,200.195.120.215,KRYS95847604876758,341210878157182,없음,ijeongja
2018-12-25,최영길,064-721-0889,hyeonsugson@example.net,세종특별자치시 중구 잠실길,660908-2249595,1980-10-24,장학관/연구관 및 교육 관련 전문가,377760171249901,무교,기타,3-4394P,107.10.211.159,PHPN52348782784510,2433395839660237,천식,hyeonuhan
2006-08-21,이영철,052-958-3388,donghyeoni@example.com,충청남도 보은군 봉은사길 (명자박동),880217-2513122,1912-12-08,기타 경호 및 보안 관련 종사원,4189707078777,기독교,민주당,004 PN7,58.247.239.224,QQGE03062161450844,4102263114856214391,천식,eunyeong00
2008-09-05,김동현,044-114-8896,jaehoi@example.net,부산광역시 금천구 가락086길 (지훈박조읍),780226-1738531,1953-07-23,상담 전문가 및 청소년 지도사,5242451451524872,불교,국민의힘,952AYK,22.203.180.100,PLWF33179258129578,4008211241343,고혈압,migyeonggim
2023-01-31,노서준,053-293-6512,jongsu31@example.org,강원도 원주시 백제고분5거리,510621-1142265,1995-05-03,학습지 및 방문 교사,5523398148817237,천주교,정의당,0R 6E9HUG,159.166.26.213,MCEZ15497815265496,4620580756952873004,고혈압,gimsujin
2018-10-18,이우진,041-309-1742,gojeonghun@example.com,광주광역시 용산구 삼성481로,960029-1076403,1993-10-13,사회복지사,4055023700321,무교,기타,985HAQ,126.221.117.223,DVPM46014738580988,4856701802813365758,천식,eunseo62
2000-02-02,고수민,018-780-8603,yejingim@example.net,경기도 수원시 권선구 역삼가 (명숙강마을),330302-2154451,1934-09-23,기타 경호 및 보안 관련 종사원,4404787080765924,불교,국민의힘,YJB-3213,19.233.245.113,HAPR78724961255908,6508374363662555,천식,kgim
2021-11-07,황선영,033-602-0566,gimminjae@example.net,대구광역시 동구 반포대99거리,720324-1048027,1989-06-06,사회복지관련 관리자,4216631568081199904,천주교,국민의힘,KEM 056,116.194.245.230,ODFY96457694238678,4527164368076,당뇨병,seongjin38
2016-11-26,송정순,02-1324-5990,jeonseonghun@example.org,세종특별자치시 동구 역삼가 (성수한마을),220423-2792883,1931-05-13,기타 배달원,2720768483512809,불교,민주당,HQA5587,70.27.159.90,MJBE73614641334656,36218350983090,없음,jihyei
2019-03-06,최영식,031-276-8767,gimhyeonu@example.com,충청남도 용인시 처인구 역삼거리,940403-2738109,1995-08-10,여행 사무원,4473728266401940864,무교,민주당,685-PPUQ,125.86.48.183,JNIK33117682579913,4235073559277714429,당뇨병,si
2002-06-13,김준영,054-261-5572,junhojeong@example.org,대구광역시 중랑구 반포대거리 (영식황성읍),290514-2098037,2003-12-08,기타 식품가공관련 기계조작원,6011368084831994,천주교,정의당,72B 043,143.158.148.39,MAGJ80608206495712,502083339817,없음,yeongsug80
2000-05-23,안영진,016-112-2547,jeonghyi73@example.net,대전광역시 마포구 서초대227가 (은서안문리),510818-1339992,2024-02-21,고객 상담 및 모니터 요원,6572910993104798,기타,민주당,YZI4035,213.12.247.91,VVBK63287653312891,3504609392237148,암,fyang
2000-06-01,김서현,010-3458-4465,seohaeun@example.net,경기도 평창군 석촌호수로,890914-1643183,2020-03-26,조림/영림 및 벌목원,4474690363980803,기독교,민주당,9NO A82,169.139.163.115,ERNH68569495073043,4171743272242,없음,hyeonsuggim
2015-04-08,김경희,010-2431-3664,seongsubag@example.org,전라북도 철원군 서초대9로 (승민류읍),080710-2389517,1928-04-08,환경 미화원 및 재활용품 수거원,2249215366828730,기독교,정의당,1D 09819,168.66.174.82,CBVQ28150084495740,3518220599879908,없음,subin63
2013-04-17,김영길,054-675-8009,hayun27@example.com,대구광역시 강서구 삼성가,740112-2099542,1997-02-08,바닥재 시공원,38632759099183,천주교,국민의힘,MOW 293,19.11.130.229,OZGW90309483309136,213125816216160,없음,jeongsuggim
2023-05-02,최미경,010-1050-8121,si@example.org,경상북도 음성군 영동대9로 (정웅박마을),200619-1771407,1930-12-25,시민 단체 활동가,4397162735456,천주교,정의당,3-1322T,66.149.119.16,OOPH00510262192784,5590703333789927,고혈압,gimdohyeon
2022-09-18,이정식,063-535-0729,minseog23@example.com,광주광역시 노원구 학동거리 (아름김김면),100826-1648144,1992-06-21,문리 및 어학 강사,36991723311054,천주교,민주당,7Q 6912D,56.29.99.158,WDYY80685305136591,4575797008813501,없음,gyeongsug29
2021-08-17,이채원,042-009-8614,do@example.com,부산광역시 종로구 가락345거리,980523-1806962,2013-10-07,예능 강사,376908643002181,기타,민주당,NHX 572,124.249.187.11,ZCKF72599489378398,676165666931,없음,gimgyeongsug
2003-07-31,김수빈,055-603-6500,jihun63@example.net,대전광역시 송파구 서초대01로 (지훈이동),160625-1545884,1977-11-08,단조원,4982895733066,불교,민주당,FBE 818,110.21.154.118,VHTO92571684586449,180048718859888,천식,juweon36
2020-03-24,이선영,054-767-3107,sgim@example.com,충청남도 안산시 단원구 언주거리 (민재심윤마을),830005-1683475,2021-09-25,섀시 조립 및 설치원,3595121329652563,기타,국민의힘,01-KZ53,217.220.83.187,LHJA55653458649527,213126820891154,당뇨병,seungminryu
2016-05-01,안지우,019-284-7311,yeongsig69@example.org,충청남도 청주시 흥덕구 개포81로,140515-1884574,1983-06-17,종이제품 생산기 조작원,676147488552,기독교,기타,212015,107.198.209.78,YIRK26238028149378,6011780760193376,고혈압,jgim
2021-03-12,김서영,070-9297-1128,jominsu@example.net,경상북도 고양시 일산동구 오금거리 (정훈안황면),990405-2236770,2010-02-14,환경 미화원 및 재활용품 수거원,568427941683,무교,민주당,8-R3526,15.20.125.123,RJMY50498763246196,502016696705,고혈압,dohyeongim
2006-09-12,조영식,016-703-6707,yejuni@example.net,광주광역시 은평구 반포대22길,730627-1671215,2007-12-09,영상/녹화 및 편집 기사,30444743432142,기독교,국민의힘,989 2DJ,159.231.164.85,KLVS10714032556423,4885407611896,고혈압,jieunseo
2016-02-18,이지은,016-085-1365,gwangsugim@example.org,전라북도 수원시 권선구 압구정607가 (준서이읍),850414-1571440,1911-07-25,농림어업관련 단순 종사원,36324752408361,기독교,기타,5M412,64.16.181.165,QSOS49150953459634,6568959903503082,없음,areum55
2023-10-14,김명자,031-227-6609,mi@example.net,제주특별자치도 평창군 테헤란3거리,480929-1563168,1982-11-08,일반기계 조립원,180026308292611,기타,기타,219 KVH,216.71.203.243,BPNS16610409000740,30364684232352,없음,seojihun
2021-04-25,김은경,011-077-5509,miyeongseo@example.com,충청북도 청주시 청원구 잠실940길,570127-2183953,1923-09-18,혼례 종사원,4252516132106982,불교,민주당,414 FHM,187.209.138.109,IQNK41844453210156,6011132457850605,천식,junyeong15
2020-07-05,김승민,032-960-9353,bagyeongmi@example.org,경상북도 부여군 서초중앙길,040613-1780775,1962-04-07,판금원,6597955999660179,기독교,정의당,9TX8352,170.128.92.102,BJYA82424732382655,2296317304505776,천식,xbag
2018-02-10,김숙자,061-854-2460,gimyeongho@example.net,울산광역시 남구 압구정635거리 (예원이양리),490211-1966889,1992-02-03,낙농업관련 종사원,30183799504566,기타,정의당,716-602,46.182.81.239,ROET79564812479249,676137346992,당뇨병,songcaeweon
2008-02-23,안성호,054-217-3319,sanghyeon78@example.net,제주특별자치도 광주시 논현8길,380320-2679821,1912-07-12,캐드원,676338657502,기독교,기타,903 FUZ,63.94.89.76,LDDA53762703903874,503854698696,없음,bageungyeong
2015-08-29,류영희,018-341-1736,seonghun28@example.com,광주광역시 강남구 반포대거리,070816-1733094,2021-11-07,기타 석유 및 화학물 가공장치 조작원,4097065588102631,기타,국민의힘,9S UD816,161.52.176.153,HRSW31064013229933,345726627956554,없음,ijeongsun
2007-05-29,하은정,064-721-3451,yeongmi95@example.net,광주광역시 구로구 백제고분4가,050407-2195433,1929-12-02,법무사 및 집행관,38750151942600,천주교,국민의힘,TYW 547,173.192.91.30,ASSM09494676791669,4334446335659171848,천식,baegjia
2008-03-11,김지원,043-410-7294,yunsangceol@example.com,충청남도 태백시 봉은사9가,720325-2285855,1925-08-08,전자공학 기술자 및 연구원,180089922813022,천주교,국민의힘,22Z J38,40.188.88.142,EDDY98226479570222,36569870107168,암,yeonghwanbag
2023-01-14,김현주,064-739-7296,hyejin30@example.org,충청남도 의정부시 선릉로,970104-2869019,1933-04-22,사진기자 및 사진가,4753755544335,무교,정의당,71W JC8,157.85.168.158,QZML25659351787588,2314157261333186,천식,ryucaeweon
2012-01-29,최지영,064-777-4550,gimyeongceol@example.com,전라북도 충주시 석촌호수거리 (옥자김이리),800920-1941659,2003-04-13,과실 및 채소 관련 기계조작원,3536203126027561,불교,정의당,LMR-5595,53.22.132.73,IMSG47618520290644,3551021382069170,당뇨병,dgim
2014-03-10,김영숙,016-718-0604,jihyeon77@example.org,대구광역시 중구 서초중앙68길 (영수장읍),610718-1714470,1978-11-13,패스트푸드원,4675652444394,무교,기타,8I 25177,63.182.131.203,HMLE62374475577557,3528624998965499,천식,eunji47
2012-09-18,김미영,055-699-4552,lcoe@example.com,대전광역시 강남구 서초중앙로,270500-2115797,1982-02-12,기타 판매 및 고객 서비스 관리자,373589843999450,무교,민주당,9666 YU,34.39.59.161,WYAE75331144836375,5493046708280330,없음,seunghyeon46
2001-10-04,배승현,018-834-8590,cunja75@example.org,경기도 금산군 언주971가,290218-2334392,1985-03-24,식품/섬유 공학 및 에너지 시험원,180095968675704,무교,민주당,ZCN-1705,204.181.80.243,LFPX76642523811953,4486525984206,당뇨병,zju
2005-03-15,권승민,043-983-6834,seongsu65@example.net,대구광역시 강서구 석촌호수거리,840104-1147927,1972-01-30,선장/항해사 및 도선사,30091636272307,기독교,국민의힘,ZZJ 420,193.254.164.88,XPTK10362858072062,3592207174131960,암,ijeongsu
2004-07-10,한경수,061-678-2741,wi@example.com,충청남도 부천시 봉은사거리 (하은김마을),370125-2422838,2019-05-14,제품 디자이너,4194700768244785,기타,국민의힘,IFS9910,115.153.193.15,RWCE87714030076690,3597742945687200,암,jseo
2021-12-12,허경자,011-619-8630,seongmin32@example.net,부산광역시 동작구 삼성거리 (지연이강마을),570420-2701058,1930-03-20,임상 심리사 및 기타 치료사,4564438852099586544,천주교,민주당,FOZ4714,185.177.61.17,UJVJ37045395198788,180019884693484,고혈압,yeonghyibag
2002-03-12,이영환,044-849-7142,gangmisug@example.org,인천광역시 종로구 선릉8거리,960929-1601494,1949-07-06,조경원,4374956083437646057,불교,기타,97-01949,106.73.162.172,TEBJ98988572855053,340472203696570,천식,namseoyeon
